País;UF;Mês;Chegadas
África do Sul;Acre;Janeiro;0
África do Sul;Acre;Fevereiro;0
África do Sul;Acre;Março;0
África do Sul;Acre;Abril;0
África do Sul;Acre;Maio;0
África do Sul;Acre;Junho;0
África do Sul;Acre;Julho;0
África do Sul;Acre;Agosto;0
África do Sul;Acre;Setembro;0
África do Sul;Acre;Outubro;0
África do Sul;Acre;Novembro;0
África do Sul;Acre;Dezembro;0
Angola;Acre;Janeiro;0
Angola;Acre;Fevereiro;0
Angola;Acre;Março;0
Angola;Acre;Abril;0
Angola;Acre;Maio;0
Angola;Acre;Junho;0
Angola;Acre;Julho;0
Angola;Acre;Agosto;0
Angola;Acre;Setembro;0
Angola;Acre;Outubro;0
Angola;Acre;Novembro;0
Angola;Acre;Dezembro;0
Cabo Verde;Acre;Janeiro;0
Cabo Verde;Acre;Fevereiro;0
Cabo Verde;Acre;Março;0
Cabo Verde;Acre;Abril;0
Cabo Verde;Acre;Maio;0
Cabo Verde;Acre;Junho;0
Cabo Verde;Acre;Julho;0
Cabo Verde;Acre;Agosto;0
Cabo Verde;Acre;Setembro;0
Cabo Verde;Acre;Outubro;0
Cabo Verde;Acre;Novembro;0
Cabo Verde;Acre;Dezembro;0
Egito;Acre;Janeiro;0
Egito;Acre;Fevereiro;0
Egito;Acre;Março;0
Egito;Acre;Abril;0
Egito;Acre;Maio;0
Egito;Acre;Junho;0
Egito;Acre;Julho;0
Egito;Acre;Agosto;0
Egito;Acre;Setembro;0
Egito;Acre;Outubro;0
Egito;Acre;Novembro;0
Egito;Acre;Dezembro;0
Gana;Acre;Janeiro;0
Gana;Acre;Fevereiro;0
Gana;Acre;Março;0
Gana;Acre;Abril;0
Gana;Acre;Maio;0
Gana;Acre;Junho;0
Gana;Acre;Julho;0
Gana;Acre;Agosto;0
Gana;Acre;Setembro;0
Gana;Acre;Outubro;0
Gana;Acre;Novembro;0
Gana;Acre;Dezembro;0
Marrocos;Acre;Janeiro;0
Marrocos;Acre;Fevereiro;0
Marrocos;Acre;Março;0
Marrocos;Acre;Abril;0
Marrocos;Acre;Maio;0
Marrocos;Acre;Junho;0
Marrocos;Acre;Julho;0
Marrocos;Acre;Agosto;0
Marrocos;Acre;Setembro;0
Marrocos;Acre;Outubro;0
Marrocos;Acre;Novembro;0
Marrocos;Acre;Dezembro;0
Moçambique;Acre;Janeiro;0
Moçambique;Acre;Fevereiro;0
Moçambique;Acre;Março;0
Moçambique;Acre;Abril;0
Moçambique;Acre;Maio;0
Moçambique;Acre;Junho;0
Moçambique;Acre;Julho;0
Moçambique;Acre;Agosto;0
Moçambique;Acre;Setembro;0
Moçambique;Acre;Outubro;0
Moçambique;Acre;Novembro;0
Moçambique;Acre;Dezembro;0
Nigéria;Acre;Janeiro;0
Nigéria;Acre;Fevereiro;0
Nigéria;Acre;Março;0
Nigéria;Acre;Abril;0
Nigéria;Acre;Maio;0
Nigéria;Acre;Junho;0
Nigéria;Acre;Julho;0
Nigéria;Acre;Agosto;0
Nigéria;Acre;Setembro;0
Nigéria;Acre;Outubro;0
Nigéria;Acre;Novembro;0
Nigéria;Acre;Dezembro;0
Outros países;Acre;Janeiro;0
Outros países;Acre;Fevereiro;0
Outros países;Acre;Março;0
Outros países;Acre;Abril;0
Outros países;Acre;Maio;0
Outros países;Acre;Junho;0
Outros países;Acre;Julho;0
Outros países;Acre;Agosto;0
Outros países;Acre;Setembro;0
Outros países;Acre;Outubro;0
Outros países;Acre;Novembro;0
Outros países;Acre;Dezembro;0
Quênia;Acre;Janeiro;0
Quênia;Acre;Fevereiro;0
Quênia;Acre;Março;0
Quênia;Acre;Abril;0
Quênia;Acre;Maio;0
Quênia;Acre;Junho;0
Quênia;Acre;Julho;0
Quênia;Acre;Agosto;0
Quênia;Acre;Setembro;0
Quênia;Acre;Outubro;0
Quênia;Acre;Novembro;0
Quênia;Acre;Dezembro;0
Tunísia;Acre;Janeiro;0
Tunísia;Acre;Fevereiro;0
Tunísia;Acre;Março;0
Tunísia;Acre;Abril;0
Tunísia;Acre;Maio;0
Tunísia;Acre;Junho;0
Tunísia;Acre;Julho;0
Tunísia;Acre;Agosto;0
Tunísia;Acre;Setembro;0
Tunísia;Acre;Outubro;0
Tunísia;Acre;Novembro;0
Tunísia;Acre;Dezembro;0
Costa Rica;Acre;Janeiro;0
Costa Rica;Acre;Fevereiro;0
Costa Rica;Acre;Março;0
Costa Rica;Acre;Abril;0
Costa Rica;Acre;Maio;0
Costa Rica;Acre;Junho;0
Costa Rica;Acre;Julho;0
Costa Rica;Acre;Agosto;0
Costa Rica;Acre;Setembro;0
Costa Rica;Acre;Outubro;0
Costa Rica;Acre;Novembro;0
Costa Rica;Acre;Dezembro;0
Cuba;Acre;Janeiro;0
Cuba;Acre;Fevereiro;0
Cuba;Acre;Março;0
Cuba;Acre;Abril;0
Cuba;Acre;Maio;0
Cuba;Acre;Junho;0
Cuba;Acre;Julho;0
Cuba;Acre;Agosto;0
Cuba;Acre;Setembro;0
Cuba;Acre;Outubro;0
Cuba;Acre;Novembro;0
Cuba;Acre;Dezembro;0
El Salvador;Acre;Janeiro;0
El Salvador;Acre;Fevereiro;0
El Salvador;Acre;Março;0
El Salvador;Acre;Abril;0
El Salvador;Acre;Maio;0
El Salvador;Acre;Junho;0
El Salvador;Acre;Julho;0
El Salvador;Acre;Agosto;0
El Salvador;Acre;Setembro;0
El Salvador;Acre;Outubro;0
El Salvador;Acre;Novembro;0
El Salvador;Acre;Dezembro;0
Guatemala;Acre;Janeiro;0
Guatemala;Acre;Fevereiro;0
Guatemala;Acre;Março;0
Guatemala;Acre;Abril;0
Guatemala;Acre;Maio;0
Guatemala;Acre;Junho;0
Guatemala;Acre;Julho;0
Guatemala;Acre;Agosto;0
Guatemala;Acre;Setembro;0
Guatemala;Acre;Outubro;0
Guatemala;Acre;Novembro;0
Guatemala;Acre;Dezembro;0
Haiti;Acre;Janeiro;0
Haiti;Acre;Fevereiro;0
Haiti;Acre;Março;0
Haiti;Acre;Abril;0
Haiti;Acre;Maio;0
Haiti;Acre;Junho;0
Haiti;Acre;Julho;0
Haiti;Acre;Agosto;0
Haiti;Acre;Setembro;0
Haiti;Acre;Outubro;0
Haiti;Acre;Novembro;0
Haiti;Acre;Dezembro;0
Honduras;Acre;Janeiro;0
Honduras;Acre;Fevereiro;0
Honduras;Acre;Março;0
Honduras;Acre;Abril;0
Honduras;Acre;Maio;0
Honduras;Acre;Junho;0
Honduras;Acre;Julho;0
Honduras;Acre;Agosto;0
Honduras;Acre;Setembro;0
Honduras;Acre;Outubro;0
Honduras;Acre;Novembro;0
Honduras;Acre;Dezembro;0
Nicarágua;Acre;Janeiro;0
Nicarágua;Acre;Fevereiro;0
Nicarágua;Acre;Março;0
Nicarágua;Acre;Abril;0
Nicarágua;Acre;Maio;0
Nicarágua;Acre;Junho;0
Nicarágua;Acre;Julho;0
Nicarágua;Acre;Agosto;0
Nicarágua;Acre;Setembro;0
Nicarágua;Acre;Outubro;0
Nicarágua;Acre;Novembro;0
Nicarágua;Acre;Dezembro;0
Outros países;Acre;Janeiro;0
Outros países;Acre;Fevereiro;0
Outros países;Acre;Março;0
Outros países;Acre;Abril;0
Outros países;Acre;Maio;0
Outros países;Acre;Junho;0
Outros países;Acre;Julho;0
Outros países;Acre;Agosto;0
Outros países;Acre;Setembro;0
Outros países;Acre;Outubro;0
Outros países;Acre;Novembro;0
Outros países;Acre;Dezembro;0
Panamá;Acre;Janeiro;0
Panamá;Acre;Fevereiro;0
Panamá;Acre;Março;0
Panamá;Acre;Abril;0
Panamá;Acre;Maio;0
Panamá;Acre;Junho;0
Panamá;Acre;Julho;0
Panamá;Acre;Agosto;0
Panamá;Acre;Setembro;0
Panamá;Acre;Outubro;0
Panamá;Acre;Novembro;0
Panamá;Acre;Dezembro;0
República Dominicana;Acre;Janeiro;0
República Dominicana;Acre;Fevereiro;0
República Dominicana;Acre;Março;0
República Dominicana;Acre;Abril;0
República Dominicana;Acre;Maio;0
República Dominicana;Acre;Junho;0
República Dominicana;Acre;Julho;0
República Dominicana;Acre;Agosto;0
República Dominicana;Acre;Setembro;0
República Dominicana;Acre;Outubro;0
República Dominicana;Acre;Novembro;0
República Dominicana;Acre;Dezembro;0
Trinidad e Tobago;Acre;Janeiro;0
Trinidad e Tobago;Acre;Fevereiro;0
Trinidad e Tobago;Acre;Março;0
Trinidad e Tobago;Acre;Abril;0
Trinidad e Tobago;Acre;Maio;0
Trinidad e Tobago;Acre;Junho;0
Trinidad e Tobago;Acre;Julho;0
Trinidad e Tobago;Acre;Agosto;0
Trinidad e Tobago;Acre;Setembro;0
Trinidad e Tobago;Acre;Outubro;0
Trinidad e Tobago;Acre;Novembro;0
Trinidad e Tobago;Acre;Dezembro;0
Canadá;Acre;Janeiro;0
Canadá;Acre;Fevereiro;0
Canadá;Acre;Março;0
Canadá;Acre;Abril;0
Canadá;Acre;Maio;0
Canadá;Acre;Junho;0
Canadá;Acre;Julho;0
Canadá;Acre;Agosto;0
Canadá;Acre;Setembro;0
Canadá;Acre;Outubro;0
Canadá;Acre;Novembro;0
Canadá;Acre;Dezembro;0
Estados Unidos;Acre;Janeiro;0
Estados Unidos;Acre;Fevereiro;0
Estados Unidos;Acre;Março;0
Estados Unidos;Acre;Abril;0
Estados Unidos;Acre;Maio;0
Estados Unidos;Acre;Junho;0
Estados Unidos;Acre;Julho;0
Estados Unidos;Acre;Agosto;0
Estados Unidos;Acre;Setembro;0
Estados Unidos;Acre;Outubro;0
Estados Unidos;Acre;Novembro;0
Estados Unidos;Acre;Dezembro;0
México;Acre;Janeiro;0
México;Acre;Fevereiro;0
México;Acre;Março;0
México;Acre;Abril;0
México;Acre;Maio;0
México;Acre;Junho;0
México;Acre;Julho;0
México;Acre;Agosto;0
México;Acre;Setembro;0
México;Acre;Outubro;0
México;Acre;Novembro;0
México;Acre;Dezembro;0
Argentina;Acre;Janeiro;0
Argentina;Acre;Fevereiro;0
Argentina;Acre;Março;0
Argentina;Acre;Abril;0
Argentina;Acre;Maio;0
Argentina;Acre;Junho;0
Argentina;Acre;Julho;0
Argentina;Acre;Agosto;0
Argentina;Acre;Setembro;0
Argentina;Acre;Outubro;0
Argentina;Acre;Novembro;0
Argentina;Acre;Dezembro;0
Bolívia;Acre;Janeiro;0
Bolívia;Acre;Fevereiro;0
Bolívia;Acre;Março;0
Bolívia;Acre;Abril;0
Bolívia;Acre;Maio;0
Bolívia;Acre;Junho;0
Bolívia;Acre;Julho;0
Bolívia;Acre;Agosto;0
Bolívia;Acre;Setembro;0
Bolívia;Acre;Outubro;0
Bolívia;Acre;Novembro;0
Bolívia;Acre;Dezembro;0
Chile;Acre;Janeiro;0
Chile;Acre;Fevereiro;0
Chile;Acre;Março;0
Chile;Acre;Abril;0
Chile;Acre;Maio;0
Chile;Acre;Junho;0
Chile;Acre;Julho;0
Chile;Acre;Agosto;0
Chile;Acre;Setembro;0
Chile;Acre;Outubro;0
Chile;Acre;Novembro;0
Chile;Acre;Dezembro;0
Colômbia;Acre;Janeiro;0
Colômbia;Acre;Fevereiro;0
Colômbia;Acre;Março;0
Colômbia;Acre;Abril;0
Colômbia;Acre;Maio;0
Colômbia;Acre;Junho;0
Colômbia;Acre;Julho;0
Colômbia;Acre;Agosto;0
Colômbia;Acre;Setembro;0
Colômbia;Acre;Outubro;0
Colômbia;Acre;Novembro;0
Colômbia;Acre;Dezembro;0
Equador;Acre;Janeiro;0
Equador;Acre;Fevereiro;0
Equador;Acre;Março;0
Equador;Acre;Abril;0
Equador;Acre;Maio;0
Equador;Acre;Junho;0
Equador;Acre;Julho;0
Equador;Acre;Agosto;0
Equador;Acre;Setembro;0
Equador;Acre;Outubro;0
Equador;Acre;Novembro;0
Equador;Acre;Dezembro;0
Guiana;Acre;Janeiro;0
Guiana;Acre;Fevereiro;0
Guiana;Acre;Março;0
Guiana;Acre;Abril;0
Guiana;Acre;Maio;0
Guiana;Acre;Junho;0
Guiana;Acre;Julho;0
Guiana;Acre;Agosto;0
Guiana;Acre;Setembro;0
Guiana;Acre;Outubro;0
Guiana;Acre;Novembro;0
Guiana;Acre;Dezembro;0
Guiana Francesa;Acre;Janeiro;0
Guiana Francesa;Acre;Fevereiro;0
Guiana Francesa;Acre;Março;0
Guiana Francesa;Acre;Abril;0
Guiana Francesa;Acre;Maio;0
Guiana Francesa;Acre;Junho;0
Guiana Francesa;Acre;Julho;0
Guiana Francesa;Acre;Agosto;0
Guiana Francesa;Acre;Setembro;0
Guiana Francesa;Acre;Outubro;0
Guiana Francesa;Acre;Novembro;0
Guiana Francesa;Acre;Dezembro;0
Paraguai;Acre;Janeiro;0
Paraguai;Acre;Fevereiro;0
Paraguai;Acre;Março;0
Paraguai;Acre;Abril;0
Paraguai;Acre;Maio;0
Paraguai;Acre;Junho;0
Paraguai;Acre;Julho;0
Paraguai;Acre;Agosto;0
Paraguai;Acre;Setembro;0
Paraguai;Acre;Outubro;0
Paraguai;Acre;Novembro;0
Paraguai;Acre;Dezembro;0
Peru;Acre;Janeiro;0
Peru;Acre;Fevereiro;0
Peru;Acre;Março;0
Peru;Acre;Abril;0
Peru;Acre;Maio;0
Peru;Acre;Junho;0
Peru;Acre;Julho;0
Peru;Acre;Agosto;0
Peru;Acre;Setembro;0
Peru;Acre;Outubro;0
Peru;Acre;Novembro;35
Peru;Acre;Dezembro;0
Suriname;Acre;Janeiro;0
Suriname;Acre;Fevereiro;0
Suriname;Acre;Março;0
Suriname;Acre;Abril;0
Suriname;Acre;Maio;0
Suriname;Acre;Junho;0
Suriname;Acre;Julho;0
Suriname;Acre;Agosto;0
Suriname;Acre;Setembro;0
Suriname;Acre;Outubro;0
Suriname;Acre;Novembro;0
Suriname;Acre;Dezembro;0
Uruguai;Acre;Janeiro;0
Uruguai;Acre;Fevereiro;0
Uruguai;Acre;Março;0
Uruguai;Acre;Abril;0
Uruguai;Acre;Maio;0
Uruguai;Acre;Junho;0
Uruguai;Acre;Julho;0
Uruguai;Acre;Agosto;0
Uruguai;Acre;Setembro;0
Uruguai;Acre;Outubro;0
Uruguai;Acre;Novembro;0
Uruguai;Acre;Dezembro;0
Venezuela;Acre;Janeiro;0
Venezuela;Acre;Fevereiro;0
Venezuela;Acre;Março;0
Venezuela;Acre;Abril;0
Venezuela;Acre;Maio;0
Venezuela;Acre;Junho;0
Venezuela;Acre;Julho;0
Venezuela;Acre;Agosto;0
Venezuela;Acre;Setembro;0
Venezuela;Acre;Outubro;0
Venezuela;Acre;Novembro;0
Venezuela;Acre;Dezembro;0
Arábia Saudita;Acre;Janeiro;0
Arábia Saudita;Acre;Fevereiro;0
Arábia Saudita;Acre;Março;0
Arábia Saudita;Acre;Abril;0
Arábia Saudita;Acre;Maio;0
Arábia Saudita;Acre;Junho;0
Arábia Saudita;Acre;Julho;0
Arábia Saudita;Acre;Agosto;0
Arábia Saudita;Acre;Setembro;0
Arábia Saudita;Acre;Outubro;0
Arábia Saudita;Acre;Novembro;0
Arábia Saudita;Acre;Dezembro;0
Bangladesh;Acre;Janeiro;0
Bangladesh;Acre;Fevereiro;0
Bangladesh;Acre;Março;0
Bangladesh;Acre;Abril;0
Bangladesh;Acre;Maio;0
Bangladesh;Acre;Junho;0
Bangladesh;Acre;Julho;0
Bangladesh;Acre;Agosto;0
Bangladesh;Acre;Setembro;0
Bangladesh;Acre;Outubro;0
Bangladesh;Acre;Novembro;0
Bangladesh;Acre;Dezembro;0
China;Acre;Janeiro;0
China;Acre;Fevereiro;0
China;Acre;Março;0
China;Acre;Abril;0
China;Acre;Maio;0
China;Acre;Junho;0
China;Acre;Julho;0
China;Acre;Agosto;0
China;Acre;Setembro;0
China;Acre;Outubro;0
China;Acre;Novembro;0
China;Acre;Dezembro;0
Hong Kong;Acre;Janeiro;0
Hong Kong;Acre;Fevereiro;0
Hong Kong;Acre;Março;0
Hong Kong;Acre;Abril;0
Hong Kong;Acre;Maio;0
Hong Kong;Acre;Junho;0
Hong Kong;Acre;Julho;0
Hong Kong;Acre;Agosto;0
Hong Kong;Acre;Setembro;0
Hong Kong;Acre;Outubro;0
Hong Kong;Acre;Novembro;0
Hong Kong;Acre;Dezembro;0
Cingapura;Acre;Janeiro;0
Cingapura;Acre;Fevereiro;0
Cingapura;Acre;Março;0
Cingapura;Acre;Abril;0
Cingapura;Acre;Maio;0
Cingapura;Acre;Junho;0
Cingapura;Acre;Julho;0
Cingapura;Acre;Agosto;0
Cingapura;Acre;Setembro;0
Cingapura;Acre;Outubro;0
Cingapura;Acre;Novembro;0
Cingapura;Acre;Dezembro;0
Filipinas;Acre;Janeiro;0
Filipinas;Acre;Fevereiro;0
Filipinas;Acre;Março;0
Filipinas;Acre;Abril;0
Filipinas;Acre;Maio;0
Filipinas;Acre;Junho;0
Filipinas;Acre;Julho;0
Filipinas;Acre;Agosto;0
Filipinas;Acre;Setembro;0
Filipinas;Acre;Outubro;0
Filipinas;Acre;Novembro;0
Filipinas;Acre;Dezembro;0
Índia;Acre;Janeiro;0
Índia;Acre;Fevereiro;0
Índia;Acre;Março;0
Índia;Acre;Abril;0
Índia;Acre;Maio;0
Índia;Acre;Junho;0
Índia;Acre;Julho;0
Índia;Acre;Agosto;0
Índia;Acre;Setembro;0
Índia;Acre;Outubro;0
Índia;Acre;Novembro;0
Índia;Acre;Dezembro;0
Indonésia;Acre;Janeiro;0
Indonésia;Acre;Fevereiro;0
Indonésia;Acre;Março;0
Indonésia;Acre;Abril;0
Indonésia;Acre;Maio;0
Indonésia;Acre;Junho;0
Indonésia;Acre;Julho;0
Indonésia;Acre;Agosto;0
Indonésia;Acre;Setembro;0
Indonésia;Acre;Outubro;0
Indonésia;Acre;Novembro;0
Indonésia;Acre;Dezembro;0
Irã;Acre;Janeiro;0
Irã;Acre;Fevereiro;0
Irã;Acre;Março;0
Irã;Acre;Abril;0
Irã;Acre;Maio;0
Irã;Acre;Junho;0
Irã;Acre;Julho;0
Irã;Acre;Agosto;0
Irã;Acre;Setembro;0
Irã;Acre;Outubro;0
Irã;Acre;Novembro;0
Irã;Acre;Dezembro;0
Israel;Acre;Janeiro;0
Israel;Acre;Fevereiro;0
Israel;Acre;Março;0
Israel;Acre;Abril;0
Israel;Acre;Maio;0
Israel;Acre;Junho;0
Israel;Acre;Julho;0
Israel;Acre;Agosto;0
Israel;Acre;Setembro;0
Israel;Acre;Outubro;0
Israel;Acre;Novembro;0
Israel;Acre;Dezembro;0
Japão;Acre;Janeiro;0
Japão;Acre;Fevereiro;0
Japão;Acre;Março;0
Japão;Acre;Abril;0
Japão;Acre;Maio;0
Japão;Acre;Junho;0
Japão;Acre;Julho;0
Japão;Acre;Agosto;0
Japão;Acre;Setembro;0
Japão;Acre;Outubro;0
Japão;Acre;Novembro;0
Japão;Acre;Dezembro;0
Líbano;Acre;Janeiro;0
Líbano;Acre;Fevereiro;0
Líbano;Acre;Março;0
Líbano;Acre;Abril;0
Líbano;Acre;Maio;0
Líbano;Acre;Junho;0
Líbano;Acre;Julho;0
Líbano;Acre;Agosto;0
Líbano;Acre;Setembro;0
Líbano;Acre;Outubro;0
Líbano;Acre;Novembro;0
Líbano;Acre;Dezembro;0
Malásia;Acre;Janeiro;0
Malásia;Acre;Fevereiro;0
Malásia;Acre;Março;0
Malásia;Acre;Abril;0
Malásia;Acre;Maio;0
Malásia;Acre;Junho;0
Malásia;Acre;Julho;0
Malásia;Acre;Agosto;0
Malásia;Acre;Setembro;0
Malásia;Acre;Outubro;0
Malásia;Acre;Novembro;0
Malásia;Acre;Dezembro;0
Outros países;Acre;Janeiro;0
Outros países;Acre;Fevereiro;0
Outros países;Acre;Março;0
Outros países;Acre;Abril;0
Outros países;Acre;Maio;0
Outros países;Acre;Junho;0
Outros países;Acre;Julho;0
Outros países;Acre;Agosto;0
Outros países;Acre;Setembro;0
Outros países;Acre;Outubro;0
Outros países;Acre;Novembro;0
Outros países;Acre;Dezembro;0
Paquistão;Acre;Janeiro;0
Paquistão;Acre;Fevereiro;0
Paquistão;Acre;Março;0
Paquistão;Acre;Abril;0
Paquistão;Acre;Maio;0
Paquistão;Acre;Junho;0
Paquistão;Acre;Julho;0
Paquistão;Acre;Agosto;0
Paquistão;Acre;Setembro;0
Paquistão;Acre;Outubro;0
Paquistão;Acre;Novembro;0
Paquistão;Acre;Dezembro;0
República da Coreia;Acre;Janeiro;0
República da Coreia;Acre;Fevereiro;0
República da Coreia;Acre;Março;0
República da Coreia;Acre;Abril;0
República da Coreia;Acre;Maio;0
República da Coreia;Acre;Junho;0
República da Coreia;Acre;Julho;0
República da Coreia;Acre;Agosto;0
República da Coreia;Acre;Setembro;0
República da Coreia;Acre;Outubro;0
República da Coreia;Acre;Novembro;0
República da Coreia;Acre;Dezembro;0
Síria;Acre;Janeiro;0
Síria;Acre;Fevereiro;0
Síria;Acre;Março;0
Síria;Acre;Abril;0
Síria;Acre;Maio;0
Síria;Acre;Junho;0
Síria;Acre;Julho;0
Síria;Acre;Agosto;0
Síria;Acre;Setembro;0
Síria;Acre;Outubro;0
Síria;Acre;Novembro;0
Síria;Acre;Dezembro;0
Tailândia;Acre;Janeiro;0
Tailândia;Acre;Fevereiro;0
Tailândia;Acre;Março;0
Tailândia;Acre;Abril;0
Tailândia;Acre;Maio;0
Tailândia;Acre;Junho;0
Tailândia;Acre;Julho;0
Tailândia;Acre;Agosto;0
Tailândia;Acre;Setembro;0
Tailândia;Acre;Outubro;0
Tailândia;Acre;Novembro;0
Tailândia;Acre;Dezembro;0
Taiwan;Acre;Janeiro;0
Taiwan;Acre;Fevereiro;0
Taiwan;Acre;Março;0
Taiwan;Acre;Abril;0
Taiwan;Acre;Maio;0
Taiwan;Acre;Junho;0
Taiwan;Acre;Julho;0
Taiwan;Acre;Agosto;0
Taiwan;Acre;Setembro;0
Taiwan;Acre;Outubro;0
Taiwan;Acre;Novembro;0
Taiwan;Acre;Dezembro;0
Países não especificados;Acre;Janeiro;0
Países não especificados;Acre;Fevereiro;0
Países não especificados;Acre;Março;0
Países não especificados;Acre;Abril;0
Países não especificados;Acre;Maio;0
Países não especificados;Acre;Junho;0
Países não especificados;Acre;Julho;0
Países não especificados;Acre;Agosto;0
Países não especificados;Acre;Setembro;0
Países não especificados;Acre;Outubro;0
Países não especificados;Acre;Novembro;0
Países não especificados;Acre;Dezembro;0
Alemanha;Acre;Janeiro;0
Alemanha;Acre;Fevereiro;0
Alemanha;Acre;Março;0
Alemanha;Acre;Abril;0
Alemanha;Acre;Maio;0
Alemanha;Acre;Junho;0
Alemanha;Acre;Julho;0
Alemanha;Acre;Agosto;0
Alemanha;Acre;Setembro;0
Alemanha;Acre;Outubro;0
Alemanha;Acre;Novembro;0
Alemanha;Acre;Dezembro;0
Áustria;Acre;Janeiro;0
Áustria;Acre;Fevereiro;0
Áustria;Acre;Março;0
Áustria;Acre;Abril;0
Áustria;Acre;Maio;0
Áustria;Acre;Junho;0
Áustria;Acre;Julho;0
Áustria;Acre;Agosto;0
Áustria;Acre;Setembro;0
Áustria;Acre;Outubro;0
Áustria;Acre;Novembro;0
Áustria;Acre;Dezembro;0
Bélgica;Acre;Janeiro;0
Bélgica;Acre;Fevereiro;0
Bélgica;Acre;Março;0
Bélgica;Acre;Abril;0
Bélgica;Acre;Maio;0
Bélgica;Acre;Junho;0
Bélgica;Acre;Julho;0
Bélgica;Acre;Agosto;0
Bélgica;Acre;Setembro;0
Bélgica;Acre;Outubro;0
Bélgica;Acre;Novembro;0
Bélgica;Acre;Dezembro;0
Bulgária;Acre;Janeiro;0
Bulgária;Acre;Fevereiro;0
Bulgária;Acre;Março;0
Bulgária;Acre;Abril;0
Bulgária;Acre;Maio;0
Bulgária;Acre;Junho;0
Bulgária;Acre;Julho;0
Bulgária;Acre;Agosto;0
Bulgária;Acre;Setembro;0
Bulgária;Acre;Outubro;0
Bulgária;Acre;Novembro;0
Bulgária;Acre;Dezembro;0
Croácia;Acre;Janeiro;0
Croácia;Acre;Fevereiro;0
Croácia;Acre;Março;0
Croácia;Acre;Abril;0
Croácia;Acre;Maio;0
Croácia;Acre;Junho;0
Croácia;Acre;Julho;0
Croácia;Acre;Agosto;0
Croácia;Acre;Setembro;0
Croácia;Acre;Outubro;0
Croácia;Acre;Novembro;0
Croácia;Acre;Dezembro;0
Dinamarca;Acre;Janeiro;0
Dinamarca;Acre;Fevereiro;0
Dinamarca;Acre;Março;0
Dinamarca;Acre;Abril;0
Dinamarca;Acre;Maio;0
Dinamarca;Acre;Junho;0
Dinamarca;Acre;Julho;0
Dinamarca;Acre;Agosto;0
Dinamarca;Acre;Setembro;0
Dinamarca;Acre;Outubro;0
Dinamarca;Acre;Novembro;0
Dinamarca;Acre;Dezembro;0
Eslováquia;Acre;Janeiro;0
Eslováquia;Acre;Fevereiro;0
Eslováquia;Acre;Março;0
Eslováquia;Acre;Abril;0
Eslováquia;Acre;Maio;0
Eslováquia;Acre;Junho;0
Eslováquia;Acre;Julho;0
Eslováquia;Acre;Agosto;0
Eslováquia;Acre;Setembro;0
Eslováquia;Acre;Outubro;0
Eslováquia;Acre;Novembro;0
Eslováquia;Acre;Dezembro;0
Eslovênia;Acre;Janeiro;0
Eslovênia;Acre;Fevereiro;0
Eslovênia;Acre;Março;0
Eslovênia;Acre;Abril;0
Eslovênia;Acre;Maio;0
Eslovênia;Acre;Junho;0
Eslovênia;Acre;Julho;0
Eslovênia;Acre;Agosto;0
Eslovênia;Acre;Setembro;0
Eslovênia;Acre;Outubro;0
Eslovênia;Acre;Novembro;0
Eslovênia;Acre;Dezembro;0
Espanha;Acre;Janeiro;0
Espanha;Acre;Fevereiro;0
Espanha;Acre;Março;0
Espanha;Acre;Abril;0
Espanha;Acre;Maio;0
Espanha;Acre;Junho;0
Espanha;Acre;Julho;0
Espanha;Acre;Agosto;0
Espanha;Acre;Setembro;0
Espanha;Acre;Outubro;0
Espanha;Acre;Novembro;0
Espanha;Acre;Dezembro;0
Estônia;Acre;Janeiro;0
Estônia;Acre;Fevereiro;0
Estônia;Acre;Março;0
Estônia;Acre;Abril;0
Estônia;Acre;Maio;0
Estônia;Acre;Junho;0
Estônia;Acre;Julho;0
Estônia;Acre;Agosto;0
Estônia;Acre;Setembro;0
Estônia;Acre;Outubro;0
Estônia;Acre;Novembro;0
Estônia;Acre;Dezembro;0
Finlândia;Acre;Janeiro;0
Finlândia;Acre;Fevereiro;0
Finlândia;Acre;Março;0
Finlândia;Acre;Abril;0
Finlândia;Acre;Maio;0
Finlândia;Acre;Junho;0
Finlândia;Acre;Julho;0
Finlândia;Acre;Agosto;0
Finlândia;Acre;Setembro;0
Finlândia;Acre;Outubro;0
Finlândia;Acre;Novembro;0
Finlândia;Acre;Dezembro;0
França;Acre;Janeiro;0
França;Acre;Fevereiro;0
França;Acre;Março;0
França;Acre;Abril;0
França;Acre;Maio;0
França;Acre;Junho;0
França;Acre;Julho;0
França;Acre;Agosto;0
França;Acre;Setembro;0
França;Acre;Outubro;0
França;Acre;Novembro;0
França;Acre;Dezembro;0
Grécia;Acre;Janeiro;0
Grécia;Acre;Fevereiro;0
Grécia;Acre;Março;0
Grécia;Acre;Abril;0
Grécia;Acre;Maio;0
Grécia;Acre;Junho;0
Grécia;Acre;Julho;0
Grécia;Acre;Agosto;0
Grécia;Acre;Setembro;0
Grécia;Acre;Outubro;0
Grécia;Acre;Novembro;0
Grécia;Acre;Dezembro;0
Holanda;Acre;Janeiro;0
Holanda;Acre;Fevereiro;0
Holanda;Acre;Março;0
Holanda;Acre;Abril;0
Holanda;Acre;Maio;0
Holanda;Acre;Junho;0
Holanda;Acre;Julho;0
Holanda;Acre;Agosto;0
Holanda;Acre;Setembro;0
Holanda;Acre;Outubro;0
Holanda;Acre;Novembro;0
